canonical	count	symbol	root	quality	pitch_names	root_qual	chord_size
"001100001000"	594	*	D	other	D other	D E- A-	3
"110100011100"	20	A-maj7/CaddA,D-	A-	major	A- major	C D- E- G A- A	6
"001010010100"	1989	*	E	minor	E minor	D E G A	4
"100010011100"	16	A-+M7/CaddA	A-	augmented	A- augmented	C E G A- A	5
"001110000100"	14	DpoweraddE,E-	D	other	D other	D E- E A	4
"001000000100"	26278	Dpower	D	other	D other	D A	2
"010101000001"	7	C#9	C#	major	C# major	C# D# E# B	4
"000101101010"	10	E-maddF,A-	E-	minor	E- minor	E- F G- A- B-	5
"100001000111"	7	F/CaddB-,B	F	major	F major	C F A B- B	5
"101101011000"	11	D/o11/C	D	diminished	D diminished	C D E- F G A-	6
"110001000100"	137	D-+M7/C	D-	augmented	D- augmented	C D- F A	4
"110010010000"	267	CaddC#	C	major	C major	C C# E G	4
"001101001010"	1499	B-7/DaddE-	B-	major	B- major	D E- F A- B-	5
"001010000000"	9459	*	E	other	E other	D E	2
"010011010100"	203	A7/C#addE#	A	other	A other	C# E E# G A	5
"000110001100"	25	*	A	other	A other	E- E G# A	4
"000000000011"	560	*	C-	other	C- other	B- C-	2
"010000000001"	3034	*	C#	other	C# other	C# B	2
"001101000110"	84	B-maj7/DaddE-	B-	major	B- major	D E- F A B-	5
"100011001000"	297	FmM7/C	F	minor	F minor	C E F A-	4
"101100110100"	124	Ao7/CaddG,D	A	diminished	A diminished	C D E- G- G A	6
"011011100001"	5	Bdim/C#addF#,E	B	other	B other	C# D E F F# B	6
"010001001101"	87	A+M9/C#	A	augmented	A augmented	C# E# G# A B	5
"100000111000"	37	*	A-	major	A- major	C G- G A-	4
"101000100110"	161	B-+M9/C	B-	augmented	B- augmented	C D F# A B-	5
"011000001010"	41	*	A#	minor	A# minor	C# D G# A#	4
"010001001011"	25	A#m7/C#addB	A#	minor	A# minor	C# E# G# A# B	5
"001000000011"	281	*	B-	major	B- major	D B- B	3
"101000101101"	9	Bm/CaddA,A-	B	minor	B minor	C D F# A- A B	6
"101000110101"	224	GM11/C	G	major	G major	C D F# G A B	6
"010000000010"	5294	*	A#	minor	A# minor	C# A#	2
"011010000101"	342	A/C#addD,B	A	major	A major	C# D E A B	5
"101010001100"	12	AmM7/CaddD	A	minor	A minor	C D E G# A	5
"010011001111"	5	AM9/C#addA#,E#	A	other	A other	C# E E# G# A A# B	7
"100011010110"	252	FM11/C	F	major	F major	C E F G A B-	6
"010000111000"	5	F#power/C#addG,G#	F#	other	F# other	C# F# G G#	4
"011001100101"	8	B/o9/C#addF#	B	other	B other	C# D F F# A B	6
"000000100101"	3283	Bpower/F#addA	B	other	B other	F# A B	3
"000110110101"	15	C-susaddG,A,E-	F-	other	F- other	E- F- G- G A C-	6
"100010010110"	944	Am7/CaddB-	A	minor	A minor	C E G A B-	5
"001110010000"	13	*	E-	major	E- major	D E- E G	4
"000010000000"	56696	Epedal	E	other	E other	E	1
"100010100100"	1293	F#/o7/C	F#	diminished	F# diminished	C E F# A	4
"000001010010"	4852	*	G	minor	G minor	F G B-	3
"000000110110"	37	GmM9/F#	G	minor	G minor	F# G A B-	4
"101100000110"	60	Adim/CaddB-,D	A	diminished	A diminished	C D E- A B-	5
"000101000110"	394	*	F	major	F major	E- F A B-	4
"100100011010"	175	A-M9/C	A-	major	A- major	C E- G A- B-	5
"101011011110"	6	C11addA,A-	C	major	C major	C D E F G A- A B-	8
"100101110100"	9	F7/CaddG,G-	F	major	F major	C E- F G- G A	6
"010100101001"	7	G#m7/C#	G#	minor	G# minor	C# D# F# G# B	5
"011001000010"	196	A#m/C#addC##	A#	other	A# other	C# C## E# A#	4
"000010011100"	69	Apower/EaddG,G#	A	other	A other	E G G# A	4
"001001110001"	168	G7/DaddF#	G	major	G major	D F F# G B	5
"000011001000"	357	*	E	major	E major	E E# G#	3
"100001100100"	235	F/CaddF#	F	major	F major	C F F# A	4
"000000101100"	427	*	F#	minor	F# minor	F# G# A	3
"010000100101"	413	F#m/C#addB	F#	minor	F# minor	C# F# A B	4
"100110010000"	176	CmaddE	C	other	C other	C E- E G	4
"001000101110"	5	DaddA#,G#	D	other	D other	D F# G# A A#	5
"000001011110"	5	*	G	minor	G minor	F G A- A B-	5
"101000110001"	128	Gmaj7/C	G	major	G major	C D F# G B	5
"101000001101"	18	*	B	minor	B minor	C D A- A B	5
"010010100011"	121	F#7/C#addB	F#	major	F# major	C# E F# A# B	5
"010010100000"	1612	F#power/C#addE	F#	other	F# other	C# E F#	3
"001011010100"	183	DmaddG,E	D	minor	D minor	D E F G A	5
"100100011001"	50	A-maj7/CaddB	A-	major	A- major	C E- G A- B	5
"011010001001"	564	C#m7addD	C#	minor	C# minor	C# D E G# B	5
