canonical	count	symbol	root	quality	root_qual	common	root_common	pitch_names	chord_size
"001100001000"	1905	*	D	other	D other	tritone-fourth	D tritone-fourth	D E- A-	3
"001101110101"	41	*	E-	other	E- other		E- 	D E- F G- G A B	7
"111010101111"	13	*	B-	other	B- other		B- 	C D- D E F# A- A B- B	9
"011001110010"	30	Gm7/C#addF#	G	minor	G minor	quasi raga Bauli	G quasi raga Bauli	C# D F F# G B-	6
"101010100110"	173	B-+M9/CaddE	B-	augmented	B- augmented	Scriabin's Mystic-chord	B- Scriabin's Mystic-chord	C D E F# A B-	6
"100000111000"	367	*	A-	major	A- major	major third tetracluster	A- major third tetracluster	C G- G A-	4
"100000001100"	2042	*	A-	major	A- major	major-minor trichord	A- major-minor trichord	C A- A	3
"001110000100"	64	DpoweraddE,E-	D	other	D other	perfect fourth tetramirror	D perfect fourth tetramirror	D E- E A	4
"111010000111"	13	Am/CaddB-,B,D-,D	A	minor	A minor		A 	C D- D E A B- B	7
"000101101010"	229	E-maddF,A-	E-	minor	E- minor	dorian pentachord	E- dorian pentachord	E- F G- A- B-	5
"011100101000"	43	*	D	major	D major	double-seconds triple-fourth pentachord	D double-seconds triple-fourth pentachord	C# D D# F# G#	5
"001101001010"	4687	B-7/DaddE-	B-	major	B- major	Kumoi pentachord	B- Kumoi pentachord	D E- F A- B-	5
"000110001011"	142	F-maj7/C-addB-	F-	major	F- major	Hirajoshi pentatonic	F- Hirajoshi pentatonic	E- F- A- B- C-	5
"110110101101"	33	Co11addC-,A-	C	diminished	C diminished	blues	C blues	C D- E- F- G- A- B-- C-	8
"001010000000"	43273	*	E	other	E other	interval class 2	E interval class 2	D E	2
"110110101000"	74	D-mM11/C	D-	minor	D- minor		D- 	C D- E- F- G- A-	6
"000000000011"	6239	*	C-	other	C- other	interval class 1	C- interval class 1	B- C-	2
"010000111101"	12	F#m/C#addG,G#,B	F#	minor	F# minor	combinatorial I (I11)	F# combinatorial I (I11)	C# F# G G# A B	6
"110101000011"	12	B-m/C-addC,E-	B-	minor	B- minor	combinatorial I (I11)	B- combinatorial I (I11)	C D- E- F B- C-	6
"101101011011"	25	Cm11addA-,B	C	minor	C minor	blues	C blues	C D E- F G A- B- B	8
"010000000001"	18165	*	C#	other	C# other	interval class 2	C# interval class 2	C# B	2
"111100001010"	45	A-/CaddB-,D-,D	A-	major	A- major	combinatorial I (I3)	A- combinatorial I (I3)	C D- D E- A- B-	6
"010011010011"	138	A#ob9/C#addE#	A#	other	A# other	Messiaen's truncated mode 2	A# Messiaen's truncated mode 2	C# E E# G A# B	6
"100001110110"	8	F/CaddG,G-,B-	F	major	F major		F 	C F G- G A B-	6
"101011011010"	110	C11addA-	C	major	C major	melodic minor ascending scale	C melodic minor ascending scale	C D E F G A- B-	7
"100011110101"	15	FM9/CaddF#,B	F	major	F major		F 	C E F F# G A B	7
"010001001101"	1056	A+M9/C#	A	augmented	A augmented	augmented-diminished ninth chord	A augmented-diminished ninth chord	C# E# G# A B	5
"000100111101"	29	*	E-	other	E- other		E- 	E- G- G A- A B	6
