canonical	count	symbol	root	quality	root_qual	common	root_common	pitch_names	chord_size
"001100001000"	594	*	D	other	D other	tritone-fourth	D tritone-fourth	D E- A-	3
"110100011100"	20	A-maj7/CaddA,D-	A-	major	A- major	complement of all tri-chord hexachord	A- complement of all tri-chord hexachord	C D- E- G A- A	6
"001010010100"	1989	*	E	minor	E minor	quartal tetramirror	E quartal tetramirror	D E G A	4
"100010011100"	16	A-+M7/CaddA	A-	augmented	A- augmented	center-cluster pentamirror	A- center-cluster pentamirror	C E G A- A	5
"001110000100"	14	DpoweraddE,E-	D	other	D other	perfect fourth tetramirror	D perfect fourth tetramirror	D E- E A	4
"001000000100"	26278	Dpower	D	other	D other	interval class 5	D interval class 5	D A	2
"010101000001"	7	C#9	C#	major	C# major	whole-tone tetramirror	C# whole-tone tetramirror	C# D# E# B	4
"000101101010"	10	E-maddF,A-	E-	minor	E- minor	dorian pentachord	E- dorian pentachord	E- F G- A- B-	5
"100001000111"	7	F/CaddB-,B	F	major	F major	major-third pentacluster	F major-third pentacluster	C F A B- B	5
"101101011000"	11	D/o11/C	D	diminished	D diminished	minor hexachord	D minor hexachord	C D E- F G A-	6
"110001000100"	137	D-+M7/C	D-	augmented	D- augmented	augmented major tetrachord	D- augmented major tetrachord	C D- F A	4
"110010010000"	267	CaddC#	C	major	C major	major-diminished tetrachord	C major-diminished tetrachord	C C# E G	4
"001101001010"	1499	B-7/DaddE-	B-	major	B- major	Kumoi pentachord	B- Kumoi pentachord	D E- F A- B-	5
"001010000000"	9459	*	E	other	E other	interval class 2	E interval class 2	D E	2
"010011010100"	203	A7/C#addE#	A	other	A other	augmented-diminished ninth chord	A augmented-diminished ninth chord	C# E E# G A	5
"000110001100"	25	*	A	other	A other	double-fourth tetramirror	A double-fourth tetramirror	E- E G# A	4
"000000000011"	560	*	C-	other	C- other	interval class 1	C- interval class 1	B- C-	2
"010000000001"	3034	*	C#	other	C# other	interval class 2	C# interval class 2	C# B	2
"001101000110"	84	B-maj7/DaddE-	B-	major	B- major	Balinese Pelog pentatonic	B- Balinese Pelog pentatonic	D E- F A B-	5
"100011001000"	297	FmM7/C	F	minor	F minor	minor-augmented tetrachord	F minor-augmented tetrachord	C E F A-	4
"101100110100"	124	Ao7/CaddG,D	A	diminished	A diminished	combinatorial RI (RI9)	A combinatorial RI (RI9)	C D E- G- G A	6
"011011100001"	5	Bdim/C#addF#,E	B	other	B other		B 	C# D E F F# B	6
"010001001101"	87	A+M9/C#	A	augmented	A augmented	augmented-diminished ninth chord	A augmented-diminished ninth chord	C# E# G# A B	5
"100000111000"	37	*	A-	major	A- major	major third tetracluster	A- major third tetracluster	C G- G A-	4
"101000100110"	161	B-+M9/C	B-	augmented	B- augmented	augmented-diminished ninth chord	B- augmented-diminished ninth chord	C D F# A B-	5
"011000001010"	41	*	A#	minor	A# minor	all-interval tetrachord	A# all-interval tetrachord	C# D G# A#	4
"010001001011"	25	A#m7/C#addB	A#	minor	A# minor	minor-diminished ninth chord	A# minor-diminished ninth chord	C# E# G# A# B	5
